Conocimiento:nan
Ideal_Conocimiento:9.82
Habilidades:nan
Ideal_Habilidades:9.88
Actitudes_y_Valores:nan
Ideal_Ac_Val:9.85
Global:nan
Previous experience,4.826942,
Self learning,4.753233,
Possesion of information,4.710952,
Critical thinking,4.658552,
Seize opportunities,4.796937,
Development  of contact network,4.791136,
Decision making and problem solving,4.888132,
Persuasion ,4.805802,
Creativity e innovation,4.758982,
Leadership ,4.830064,
Nonconformity and individualism,4.886479,
Locus of internal control ,4.820008,
Tendency to take risks ,4.883331,
Tolerance for failure and uncertainty ,4.797048,
Motivation,4.771941,
Persistence ,4.86577,
Legitimacy,4.753092,
Self-Eficacy ,4.774559,
Competitiveness,4.737989,
Trust ,4.73154,
